Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt. Dette udtræk modsvarer opdateringen d 01-07-2024.

"Tekst";"Kode"
"Andre sygdomme i åndedrætsorganer [DJ95-DJ99]";""
"Tilstande i åndedrætsorganer efter indgreb IKA";"DJ95"
"Trakeostomiproblemer";"DJ950"
"Sepsis udgået fra trakeostomistoma";"DJ950A"
"Trakeo-øsofageal fistel efter trakeostomi";"DJ950B"
"Blødning fra trakeostomistoma";"DJ950C"
"Luftvejsobstruktion ved trakeostomi";"DJ950D"
"Akut respirationsinsufficiens efter thoraxkirurgi";"DJ951"
"Akut respirationsinsufficiens efter ekstratorakal kirurgi";"DJ952"
"Kronisk respirationsinsufficiens efter kirurgi UNS";"DJ953"
"Postaspirationssyndrom";"DJ954"
"Subglottisk stenose efter indgreb";"DJ955"
"Anden tilstand i respirationsveje efter indgreb";"DJ958"
"Pneumothorax efter indgreb på brystvæg og lunge";"DJ958A"
"Tilstand i respirationsveje UNS efter indgreb";"DJ959"
"Respirationsinsufficiens IKA";"DJ96"
"Akut respirationsinsufficiens";"DJ960"
"Kronisk respirationsinsufficiens";"DJ961"
"Respirationsinsufficiens UNS";"DJ969"
"Andre tilstande i åndedrætsorganer";"DJ98"
"Sygdom i luftrør eller bronkier IKA";"DJ980"
"Bronkolitiasis";"DJ980A"
"Forkalkning i bronkier";"DJ980B"
"Forkalkning i luftrør";"DJ980C"
"Trakealstenose";"DJ980D"
"Sår i luftrør";"DJ980E"
"Sår i bronkie";"DJ980F"
"Bronkialstenose";"DJ980G"
"Dyskinesia tracheobronchialis";"DJ980H"
"Collapsus tracheobronchialis";"DJ980I"
"Atelektase i lunge";"DJ981"
"Interstitielt lungeemfysem";"DJ982"
"Mediastinalt emfysem";"DJ982A"
"Kompensatorisk emfysem";"DJ983"
"Anden lungesygdom";"DJ984"
"Pulmolitiasis";"DJ984A"
"Forkalkning i lunge";"DJ984B"
"Lungecyste";"DJ984C"
"Sygdom i mediastinum IKA";"DJ985"
"Retractio mediastini";"DJ985A"
"Mediastinal fibrose";"DJ985B"
"Mediastinalt hernie";"DJ985C"
"Mediastinitis UNS";"DJ985D"
"Sygdom i diafragma";"DJ986"
"Parese af nervus phrenicus";"DJ986A"
"Paralyse af diafragma";"DJ986B"
"Relaxatio diaphragmatica";"DJ986C"
"Diaphragmatitis";"DJ986D"
"Anden tilstand i åndedrætsorganer";"DJ988"
"Isoleret ciliedyskinesi";"DJ988A"
"Tilstand i åndedrætsorgan UNS";"DJ989"
"Lungeforandringer ved sygdom klassificeret andetsteds";"DJ99"
"Lungeforandringer ved reumatoid sygdom";"DJ990"
"Lungeforandringer ved anden bindevævssygdom";"DJ991"
"Lungeforandringer ved anden sygdom klassificeret andetsteds";"DJ998"
"Kap. XI: Sygdomme i fordøjelsesorganer [DK00-DK93]";""
"Sygdomme i mundhulen, spytkirtler og kæber [DK00-DK14]";""
"Forstyrrelser i tænders udvikling og frembrud";"DK00"
"Anodonti";"DK000"
"Aplasi af tand";"DK000A"
"Overtallige tænder";"DK001"
"Afvigelser i størrelse og form af tænder";"DK002"
"Dens evaginatus";"DK002A"
"Dens invaginatus";"DK002B"
"Enamelom";"DK002C"
"Abnorm form på tand UNS";"DK002D"
"Macrodontia";"DK002E"
"Microdontia";"DK002G"
"Opacitet i tandemalje";"DK003"
"Fluorosis dentalis";"DK003A"
"Forstyrrelse i tanddannelse";"DK004"
"Turners tænder";"DK004A"
"Hypoplasi af tandemalje";"DK004B"
"Arvelig tandanomali IKA";"DK005"
"Amelogenesis imperfecta";"DK005A"
"Dentinogenesis imperfecta";"DK005B"
"Dysplasi af tand";"DK005C"
"Abnormt tandfrembrud";"DK006"
"Dentitio praecox";"DK006A"
"Eruptio dentium tarda";"DK006B"
"Dens deciduus persistens";"DK006C"
"Dens neonatalis";"DK006D"
"Eruptiopati";"DK007"
"Dentitio difficilis";"DK007A"
"Anden forstyrrelse i tandudviklingen";"DK008"
"Endogen misfarvning af tænder UNS";"DK008A"
"Misfarvning af tænder før frembrud";"DK008B"
"Forstyrrelse i tandudviklingen UNS";"DK009"
"Ikke-frembrudt tand";"DK01"
"Retineret tand";"DK010"
"Impakteret tand";"DK011"
"Huller i tænder";"DK02"
"Karies i tandemaljen";"DK020"
"Karies i tandbenet";"DK021"
"Karies i tandcementen";"DK022"
"Caries dentium arrestum";"DK023"
"Odontoklasi";"DK024"
"Karies med pulpa eksponering";"DK025"
"Anden form for karies";"DK028"
"Karies UNS";"DK029"
"Andre sygdomme i det hårde tandvæv";"DK03"
"Attritio dentium";"DK030"
"Abrasio dentium";"DK031"
"Erosio dentium";"DK032"
"Resorptio dentium";"DK033"
"Granuloma internum pulpae dentium";"DK033A"
"Resorptio dentium externi";"DK033B"
"Resorptio dentium interni";"DK033C"
"Hypercementosis";"DK034"
"Ankylosis dento-alveolaris";"DK035"
"Tandbelægninger";"DK036"
"Accretio dentis";"DK036A"
"Tandsten";"DK036B"
"Ydre misfarvning af tænder UNS";"DK036C"
"Misfarvning af tænder efter frembrud";"DK037"
"Anden sygdom i det hårde tandvæv";"DK038"
"Adamantina irradiata";"DK038A"
"Dentinum sensitivum";"DK038B"
"Enamelum irradiatum";"DK038C"
"Sygdom i det hårde tandvæv UNS";"DK039"
"Sygdom i tandpulpa og det periapikale væv";"DK04"
"Pulpitis";"DK040"
"Absces i tandpulpa";"DK040A"
"Polyp i tandpulpa";"DK040B"
"Nekrose i tandpulpa";"DK041"
"Gangræn i tandpulpa";"DK041A"
"Degeneration af tandpulpa";"DK042"
"Abnorm dentindannelse i tandpulpa";"DK043"
"Akut apikal parodontitis";"DK044"
"Kronisk apikal parodontitis";"DK045"
"Periapikalt granulom";"DK045A"
"Apikalt granulom";"DK045B"
"Periapikal tandabsces med fistel";"DK046"
"Alveolær tandabsces med fistel";"DK046A"
"Fistula dentalis";"DK046B"
"Fistula processus alveolaris";"DK046C"
"Fistula periapicalis";"DK046D"
"Parulis med fistel";"DK046E"
"Periapikal tandabsces uden fistel";"DK047"
"Alveolær tandabsces uden fistel";"DK047A"
"Parulis UNS";"DK047B"
"Tandrodscyste";"DK048"
"Periodontal cyste";"DK048A"
"Periapikal cyste";"DK048B"
"Apikal cyste";"DK048C"
"Anden eller ikke specificeret sygdom i tandpulpa eller periapikalt væv";"DK049"
"Gingivitis og parodontale sygdomme";"DK05"
"Akut gingivitis";"DK050"
"Kronisk gingivitis";"DK051"
"Ulcerøs gingivitis";"DK051A"
"Gingivitis UNS";"DK051B"
"Hyperplastisk gingivitis";"DK051C"
"Kronisk gingivitis forårsaget af lægemiddel";"DK051D"
"Akut parodontitis";"DK052"
"Parodontal absces";"DK052A"
"Akut marginal parodontitis";"DK052B"
"Akut perikoronitis";"DK052C"
"Kronisk parodontitis";"DK053"
"Parodontitis UNS";"DK053A"
"Kronisk perikoronitis";"DK053B"
"Parodontose";"DK054"
"Juvenil parodontose";"DK054A"
"Anden parodontal sygdom";"DK055"
"Parodontal sygdom UNS";"DK056"
"Andre sygdomme i tandkød og tilstødende væv";"DK06"
"Gingivaretraktion";"DK060"
"Gingival hyperplasi";"DK061"
"Gingival fibromatose";"DK061A"
"Irritativ hyperplasi af processus alveolaris efter tab af tænder";"DK061B"
"Traumatiske forandringer i gingiva eller processus alveolaris efter tab af tænder";"DK062"
"Traumatiske forandringer processus alveolaris efter tab af tænder";"DK062A"
"Traumatiske forandringer i gingiva";"DK062B"
"Anden sygdom i gingiva eller processus alveolaris efter tab af tænder";"DK068"
"Gingivacyste";"DK068A"
"Epulis gigantocellularis UNS";"DK068B"
"Epulis fibrosus";"DK068C"
"Pyogent granulom i gingiva";"DK068D"
"Granuloma teleangiectaticum gingivae";"DK068E"
"Perifert kæmpecellegranulom i underkæben";"DK068F"
"Perifert kæmpecellegranulom i overkæben";"DK068G"
"Misfarvning af gingiva";"DK068H"
"Erytroplaki på gingiva";"DK068I"
"Melanoplaki på gingiva";"DK068K"
"Forreste mundhulefistel";"DK068L"
"Sygdom i tandkød eller tilstødende væv UNS";"DK069"
"Dento-faciale anomalier";"DK07"
"Større abnormiteter i kæbernes dimensioner";"DK070"
"Hyperplasi af overkæben";"DK070A"
"Hyperplasi af underkæben";"DK070B"
"Hypoplasi af overkæben";"DK070C"
"Hypoplasi af underkæben";"DK070D"
"Abnormt forhold mellem kæber og basis cranii";"DK071"
"Asymmetrisk underkæbe";"DK071A"
"Asymmetrisk overkæbe";"DK071B"
"Prominerende overkæbe";"DK071C"
"Prominerende underkæbe";"DK071D"
"Vigende overkæbe";"DK071E"
"Vigende underkæbe";"DK071F"
"Bidanomali";"DK072"
"Åbent frontalt bid";"DK072A"
"Dybt bid";"DK072B"
"Dybt bid med fortandssammenbid";"DK072C"
"Åbent lateralt bid";"DK072D"
"Invertering af tand";"DK072E"
"Krydsbid";"DK072F"
"Midtlinjeforskydning af fortænder";"DK072G"
"Mesial okklusion af tænder";"DK072H"
"Distal okklusion af tænder";"DK072I"
"Maksilært overbid";"DK072J"
"Ekstremt overbid";"DK072K"
"Horisontalt overbid";"DK072L"
"Fejlstilling af tænder";"DK073"
"Diastema dentium";"DK073A"
"Ektopi af tænder";"DK073B"
"Rotation af tænder";"DK073C"
"Spredtstilling af tænder";"DK073D"
"Trangstilling af tænder";"DK073E"
"Transposition af tænder";"DK073F"
"Malokklusion UNS";"DK074"
"Funktionsforstyrrelser i kæber og ansigt";"DK075"
"Funktionsforstyrrelser i kæber og ansigt med malokklusion";"DK075A"
"Constrictio maxillarum";"DK075B"
"Forstyrrelse i tyggefunktionen";"DK075C"
"Lidelse i kæbeled";"DK076"
"Smertebetinget funktionsforstyrrelse i kæbeled";"DK076A"
"Klik i kæbeled";"DK076B"
"Ankylose i kæbeled";"DK076C"
"Slidgigt i kæbeled";"DK076D"
"Kondromatose i kæbeled";"DK076E"
"Dislokation af ledskive i kæbeled";"DK076F"
"Mandibulær dysfunktion UNS";"DK076M"
"Anden dento-facial anomali";"DK078"
"Dento-facial anomali UNS";"DK079"
"Andre sygdomme i tænder og støttevæv";"DK08"
"Tab af tænder ved systemisk sygdom";"DK080"
"Tab af tænder ved ulykke, ekstraktion eller parodontal sygdom";"DK081"
"Tab af tænder ved ulykke";"DK081A"
"Tab af tænder ved parodontal sygdom";"DK081B"
"Tab af tænder ved ekstraktion";"DK081C"
"Partiel tandløshed";"DK081D"
"Atrofi af processus alveolaris efter tab af tænder";"DK082"
"Retineret tandrod";"DK083"
"Tandsekvester";"DK083A"
"Anden sygdom i tænder eller støttevæv";"DK088"
"Hypertrofi af processus alveolaris UNS";"DK088A"
"Tandpine UNS";"DK088B"
"Ujævn processus alveolaris";"DK088C"
"Sygdom i tænder eller støttevæv UNS";"DK089"
"Blødning fra processus alveolaris UNS";"DK089A"
"Cyster i mundregionen IKA";"DK09"
"Odontogen udviklingscyste";"DK090"
"Cystis periodontalis lateralis";"DK090A"
"Cystis primordialis";"DK090B"
"Cystis dentalis follicularis";"DK090C"
"Keratocystis odontogenica";"DK090D"
"Ikke-odontogen udviklingscyste i mundregionen";"DK091"
"Cystis nasopalatina";"DK091A"
"Cystis processus alveolaris";"DK091B"
"Cystis fissuralis maxillae";"DK091C"
"Cystis mediana palati";"DK091D"
"Cystis fissuralis mandibulae";"DK091E"
"Cystis canalis incisivus";"DK091F"
"Anden kæbecyste";"DK092"
"Cystis maxillae traumatica";"DK092A"
"Overkæbecyste UNS";"DK092B"
"Cystis mandibulae aneurysmatica";"DK092C"
"Cystis maxillae haemorrhagica";"DK092D"
"Cystis maxillae aneurysmatica";"DK092E"
"Cystis mandibulae haemorrhagica";"DK092F"
"Cystis mandibulae traumatica";"DK092G"
"Underkæbecyste UNS";"DK092H"
"Cystis residualis";"DK092I"
"Anden cyste i mundregionen IKA";"DK098"
"Cystis nasolabialis";"DK098A"
"Cystis lymphoepithelialis regionis oralis";"DK098B"
"Cystis nasoalveolaris";"DK098C"
"Cystis dermoides regionis oralis";"DK098D"
"Epsteins perle";"DK098E"
"Cyste i mundregionen UNS";"DK099"
"Andre sygdomme i kæber";"DK10"
"Udviklingsforstyrrelse i kæbe";"DK100"
"Cystis latens mandibulae";"DK100A"
"Cystis latens maxillae";"DK100B"
"Udviklingsforstyrrelse i overkæbe";"DK100C"
"Udviklingsforstyrrelse i underkæbe";"DK100D"
"Cystis statica mandibulae";"DK100E"
"Torus palatinus";"DK100F"
"Torus mandibularis";"DK100G"
"Centralt kæmpecellegranulom i kæbe";"DK101"
"Centralt kæmpecellegranulom i overkæben";"DK101A"
"Centralt kæmpecellegranulom i underkæben";"DK101B"
"Betændelsestilstand i kæbe";"DK102"
"Ostitis maxillae";"DK102A"
"Ostitis mandibulae";"DK102B"
"Osteomyelitis mandibulae";"DK102C"
"Osteomyelitis maxillae";"DK102D"
"Osteoradionecrosis mandibulae";"DK102E"
"Osteoradionecrosis maxillae";"DK102F"
"Periostitis mandibulae";"DK102G"
"Periostitis maxillae";"DK102H"
"Sequestrum maxillae";"DK102I"
"Sequestrum mandibulae";"DK102J"
"Ostitis alveolaris";"DK103"
"Periostitis alveolaris";"DK103B"
"Anden sygdom i kæbe";"DK108"
"Atrofi af underkæben";"DK108A"
"Atrofi af overkæben";"DK108B"
"Cherubismus mandibulae";"DK108C"
"Cherubismus maxillae";"DK108D"
"Exostosis maxillae";"DK108E"
"Exostosis mandibulae";"DK108F"
"Hyperplasia condylaris unilateralis mandibulae";"DK108G"
"Hypoplasia condylaris unilateralis mandibulae";"DK108H"
"Ostitis fibrosa mandibulae";"DK108I"
"Ostitis fibrosa maxillae";"DK108J"
"Sygdom i kæbe UNS";"DK109"
"Sygdomme i spytkirtler";"DK11"
"Atrofi af spytkirtel";"DK110"
"Atrofi af glandula parotidea";"DK110A"
"Hypertrofi af spytkirtel";"DK111"
"Hypertrofi af glandula parotidea";"DK111A"
"Hypertrofi af glandula submandibularis";"DK111B"
"Hypertrofi af glandula sublingualis";"DK111C"
"Betændelse i spytkirtel";"DK112"
"Purulent parotitis";"DK112A"
"Kronisk parotitis";"DK112B"
"Akut parotitis";"DK112C"
"Sialodochitis";"DK112D"
"Absces i spytkirtel";"DK113"
"Abscessus glandulae submandibularis";"DK113A"
"Abscessus glandulae sublingualis";"DK113B"
"Abscessus glandulae submandibularis";"DK113C"
"Abscessus glandulae parotideae";"DK113D"
"Fistel i spytkirtel";"DK114"
"Fistel i glandula parotidea";"DK114A"
"Spytsten";"DK115"
"Spytsten i glandula parotidea";"DK115A"
"Mukocele i spytkirtel";"DK116"
"Cystis glandulae sublingualis";"DK116A"
"Cystis glandulae parotideae";"DK116B"
"Ranula";"DK116C"
"Sekretionsforstyrrelse i spytkirtel";"DK117"
"Hyposalivatio";"DK117A"
"Salivatio excessiva";"DK117B"
"Hypersalivatio";"DK117C"
"Mundtørhed forårsaget af sekretionsforstyrrelse i spytkirtler";"DK117D"
"Anden sygdom i spytkirtel";"DK118"
"Erhvervet tillukning af udførselsgang fra spytkirtel";"DK118A"
"Erhvervet deformering af udførselsgang fra spytkirtel";"DK118B"
"Godartet lymfoepitelial læsion i spytkirtel";"DK118C"
"Sialectasia";"DK118E"
"Sialometaplasia necroticans";"DK118F"
"Sialose";"DK118G"
"Stenosis ductus salivarii UNS";"DK118H"
"Strictura ductus salivarii UNS";"DK118I"
"Forsnævring af udførselsgang fra glandula parotidea";"DK118J"
"Sygdom i spytkirtel UNS";"DK119"
"Betændelse i mundslimhinden og beslægtede sygdomme";"DK12"
"Aftøs mundbetændelse";"DK120"
"Aphthae oris recurrentes";"DK120A"
"Bednars after";"DK120B"
"Periadenitis mucosa necrotica recurrens";"DK120C"
"Stomatitis herpetiformis";"DK120D"
"Anden form for stomatitis";"DK121"
"Ulcerøs mundbetændelse";"DK121A"
"Stomatitis UNS";"DK121B"
"Stomatitis catarrhalis";"DK121C"
"Flegmone eller absces i munden";"DK122"
"Abscessus submandibularis";"DK122A"
"Absces i munden";"DK122B"
"Andre sygdomme i læber og mundslimhinde";"DK13"
"Sygdom i læberne";"DK130"
"Abscessus labii oris";"DK130A"
"Cheilitis exfoliativa";"DK130B"
"Cheilitis UNS";"DK130C"
"Cheilitis glandularis";"DK130D"
"Cheilitis angularis IKA";"DK130E"
"Cheilodynia";"DK130F"
"Cystis labii oris";"DK130G"
"Fissura labii oris";"DK130H"
"Fistula labii oris";"DK130I"
"Hypertrofi af læber";"DK130J"
"Kindbidning og læbebidning";"DK131"
"Læbebidning";"DK131A"
"Kindbidning";"DK131B"
"Leukoplakia eller anden forstyrrelse i mundslimhinden";"DK132"
"Acanthosis linguae";"DK132A"
"Erythroplakia oris";"DK132B"
"Erythroplakia linguae";"DK132C"
"Erythroplakia buccae";"DK132D"
"Leukoedema oris";"DK132E"
"Leukoedema linguae";"DK132F"
"Leukokeratosis nicotina palati";"DK132G"
"Leukoplakia oris";"DK132H"
"Leukoplakia linguae";"DK132I"
"Leukoplakia buccae";"DK132J"
"Leukoplakia gingivae";"DK132K"
"Misfarvning af mundslimhinden UNS";"DK132M"
"Hyperplasia epithelialis focalis (FEH)";"DK132N"
"Håret leukoplaki";"DK133"
"Granulom eller granulomlignende sygdom i mundslimhinden";"DK134"
"Granuloma purulenta mucosae oris";"DK134A"
"Granuloma mucosae oris";"DK134B"
"Granuloma eosinophilica mucosae oris";"DK134C"
"Xanthoma verrucosa mucosae oris";"DK134D"
"Cheilitis granulomatosa";"DK134E"
"Submukøs fibrose i munden";"DK135"
"Submukøs fibrose i tungen";"DK135A"
"Hypertrophia irritativa mucosae oris";"DK136"
"Anden eller ikke nærmere specificeret sygdom i mundslimhinde";"DK137"
"Ulcus mucosae buccae";"DK137A"
"Ulcus mucosae palati";"DK137B"
"Hyperplasia papilliformis mucosae oris palati";"DK137C"
"Allergia mucosae oris";"DK137D"
"Orodynia";"DK137E"
"Ulcus mucosae oris UNS";"DK137F"
"Sygdomme i tungen";"DK14"
"Glossitis";"DK140"
"Absces i tungen";"DK140A"
"Papillitis linguae";"DK140B"
"Traumatisk ulcus på tungen";"DK140C"
"Ulcus på tungen UNS";"DK140D"
"Lingua geographica";"DK141"
"Glossitis rhombica mediana";"DK142"
"Hypertrofi af tungepapiller";"DK143"
"Lingua (villosa) nigra";"DK143A"
"Atrofi af tungepapiller";"DK144"
"Atrofisk glottitis";"DK144A"
"Lingua plicata";"DK145"
"Erhvervede fissurer i tungen";"DK145A"
"Lingua scrotalis";"DK145B"
"Smerter i tungen";"DK146"
"Glossopyrosis";"DK146A"
"Anden sygdom i tungen";"DK148"
"Atrofi af tungen";"DK148A"
"Hemiatrofi af tungen";"DK148B"
"Hypertrofi af tungen";"DK148C"
"Erhvervet makroglossi";"DK148D"
"Eosinofilt ulcus på tungen";"DK148F"
"Lingua indentata";"DK148G"
"Sygdom i tunge UNS";"DK149"
"Sygdomme i spiserøret, mavesækken og tolvfingertarmen [DK20-DK31]";""
"Betændelse i spiserøret";"DK20"
"Øsofagitis UNS";"DK209"
"Absces i spiserøret";"DK209A"
"Peptisk øsofagitis";"DK209B"
"Øsofagitis forårsaget af kemikalie";"DK209C"
"Eosinofil øsofagitis";"DK209D"
"Gastro-øsofageal refluks";"DK21"
"Gastro-øsofageal refluks med øsofagitis";"DK210"
"Gastro-øsofageal refluks uden øsofagitis";"DK219"
"Søvnrelateret gastro-øsofageal refluks";"DK219A"
"Gastro-øsofageal refluks UNS";"DK219B"
"Andre sygdomme i spiserøret";"DK22"
"Cardia-akalasi";"DK220"
"Ulcus i spiserøret";"DK221"
"Erosion i spiserøret";"DK221A"
"Peptisk ulcus i spiserøret";"DK221B"
"Ulcus i spiserøret forårsaget af svampeinfektion";"DK221C"
"Ulcus i spiserøret forårsaget af kemikalie";"DK221D"
"Ulcus i spiserøret forårsaget af lægemiddel";"DK221E"
"Ulcerativ øsofagitis UNS";"DK221F"
"Obstruktion af spiserøret";"DK222"
"Kompression af spiserøret";"DK222A"
"Stenose i spiserøret";"DK222B"
"Striktur i spiserøret";"DK222C"
"Perforation af spiserøret";"DK223"
"Ruptur af spiserøret";"DK223A"
"Spiserørsdyskinesi";"DK224"
"Øsofaguspasmer";"DK224A"
"Erhvervet øsofagusdivertikel";"DK225"
"Traktionsdivertikel i spiserøret";"DK225A"
"Pulsionsdivertikel i øsofagus";"DK225B"
"Mallory-Weiss' syndrom";"DK226"
"Barretts øsofagus";"DK227"
"Anden sygdom i spiserøret";"DK228"
"Cystis oesophagi";"DK228A"
"Dilatatio oesophagi";"DK228B"
"Fistula tracheo-oesophagealis";"DK228C"
"Fistula broncho-oesophagealis";"DK228D"
"Functio laesa oesophagi";"DK228E"
"Blødning i spiserøret UNS";"DK228F"
"Leukoplakia oesophagi";"DK228G"
"Megaloøsofagus";"DK228H"
"Presbyøsofagus";"DK228I"
"Retrograd krikofaryngeal dysfunktion";"DK228K"
"Sygdom i øsofagus UNS";"DK229"
"Sygdom i øsofagus ved sygdom klassificeret andetsteds";"DK23"
"Tuberkuløs øsofagitis";"DK230"
"Megaøsofagus ved Chagas' sygdom";"DK231"
"Forstyrrelser i øsofagus ved anden sygdom klassificeret andetsteds";"DK238"
"Mavesår";"DK25"
"Akut mavesår med blødning";"DK250"
"Akut ulcus i cardia med blødning";"DK250A"
"Akut ulcus i corpus ventriculi med blødning";"DK250B"
"Akut jukstapylorisk ulcus med blødning";"DK250C"
"Akut præpylorisk ulcus med blødning";"DK250D"
"Akut pylorusulcus med blødning";"DK250E"
"Exulceratio simplex Dieulafoy med blødning";"DK250F"
"Akut mavesår med perforation";"DK251"
"Akut ulcus i cardia med perforation";"DK251A"
"Akut pylorusulcus med perforation";"DK251B"
"Akut ulcus i corpus ventriculi med perforation";"DK251C"
"Akut jukstapylorisk ulcus med perforation";"DK251D"
"Akut præpylorisk ulcus med perforation";"DK251E"
"Akut mavesår med blødning og perforation";"DK252"
"Akut ulcus i cardia med blødning og perforation";"DK252A"
"Akut pylorusulcus med blødning og perforation";"DK252B"
"Akut ulcus i corpus ventriculi med blødning og perforation";"DK252C"
"Akut jukstapylorisk ulcus med blødning og perforation";"DK252D"
"Akut præpylorisk ulcus med blødning og perforation";"DK252E"
"Akut mavesår uden blødning eller perforation";"DK253"
"Akut ulcus i cardia uden blødning eller perforation";"DK253A"
"Akut pylorusulcus uden blødning eller perforation";"DK253B"
"Akut ulcus i corpus ventriculi uden blødning eller perforation";"DK253C"
"Akut jukstapylorisk ulcus uden blødning eller perforation";"DK253D"
"Akut præpylorisk ulcus uden blødning eller perforation";"DK253E"
"Kronisk eller ikke specificeret mavesår med blødning";"DK254"
"Kronisk ulcus i cardia med blødning";"DK254A"
"Ulcus UNS i cardia med blødning";"DK254B"
"Kronisk pylorusulcus med blødning";"DK254C"
"Pylorusulcus UNS med blødning";"DK254D"
"Kronisk ulcus i corpus ventriculi med blødning";"DK254E"
"Ulcus UNS i corpus ventriculi med blødning";"DK254F"
"Kronisk jukstapylorisk ulcus med blødning";"DK254G"
"Jukstapylorisk ulcus UNS med blødning";"DK254H"
"Kronisk præpylorisk ulcus med blødning";"DK254I"
"Præpylorisk ulcus UNS med blødning";"DK254J"
"Kronisk eller ikke specificeret mavesår med perforation";"DK255"
"Kronisk ulcus i cardia med perforation";"DK255A"
"Ulcus UNS i cardia med perforation";"DK255B"
"Kronisk pylorusulcus med perforation";"DK255C"
"Pylorusulcus UNS med perforation";"DK255D"
"Kronisk ulcus i corpus ventriculi med perforation";"DK255E"
"Ulcus UNS i corpus ventriculi med perforation";"DK255F"
"Kronisk jukstapylorisk ulcus med perforation";"DK255G"
"Jukstapylorisk ulcus UNS med perforation";"DK255H"
"Kronisk præpylorisk ulcus med perforation";"DK255I"
"Præpylorisk ulcus UNS med perforation";"DK255J"
"Kronisk eller ikke specificeret mavesår med blødning og perforation";"DK256"
"Kronisk ulcus i cardia med blødning og perforation";"DK256A"
"Ulcus UNS i cardia med blødning og perforation";"DK256B"
"Kronisk pylorusulcus med blødning og perforation";"DK256C"
"Pylorusulcus UNS med blødning og perforation";"DK256D"
"Kronisk ulcus i corpus ventriculi med blødning og perforation";"DK256E"
"Ulcus UNS i corpus ventriculi med blødning og perforation";"DK256F"
"Kronisk jukstapylorisk ulcus med blødning og perforation";"DK256G"
"Jukstapylorisk ulcus UNS med blødning og perforation";"DK256H"
"Kronisk præpylorisk ulcus med blødning og perforation";"DK256I"
"Præpylorisk ulcus UNS med blødning og perforation";"DK256J"
"Kronisk mavesår uden blødning eller perforation";"DK257"
"Kronisk ulcus i cardia uden blødning eller perforation";"DK257A"
"Kronisk pylorusulcus uden blødning eller perforation";"DK257B"
"Kronisk ulcus i corpus ventriculi uden blødning eller perforation";"DK257C"
"Kronisk jukstapylorisk ulcus uden blødning eller perforation";"DK257D"
"Kronisk præpylorisk ulcus uden blødning eller perforation";"DK257E"
"Mavesår UNS uden blødning eller perforation";"DK259"
"Mavesår UNS";"DK259A"
"Sår på tolvfingertarmen";"DK26"
"Akut duodenalulcus med blødning";"DK260"
"Akut postpylorisk ulcus med blødning";"DK260A"
"Akut duodenalulcus med perforation";"DK261"
"Akut postpylorisk ulcus med perforation";"DK261A"
"Akut duodenalulcus med blødning og perforation";"DK262"
"Akut postpylorisk ulcus med blødning og perforation";"DK262A"
"Akut duodenalulcus uden blødning eller perforation";"DK263"
"Akut postpylorisk ulcus uden blødning eller perforation";"DK263A"
"Kronisk eller ikke specificeret duodenalulcus med blødning";"DK264"
"Kronisk duodenalulcus med blødning";"DK264A"
"Duodenalulcus UNS med blødning";"DK264B"
"Kronisk postpylorisk ulcus med blødning";"DK264C"
"Postpylorisk ulcus UNS med blødning";"DK264D"
"Kronisk eller ikke specificeret duodenalulcus med perforation";"DK265"
"Kronisk duodenalulcus med perforation";"DK265A"
"Duodenalulcus UNS med perforation";"DK265B"
"Kronisk postpylorisk ulcus med perforation";"DK265C"
"Postpylorisk ulcus UNS med perforation";"DK265D"
"Kronisk eller ikke specificeret duodenalulcus med blødning og perforation";"DK266"
"Kronisk duodenalulcus med blødning og perforation";"DK266A"
"Duodenalulcus UNS med blødning og perforation";"DK266B"
"Kronisk postpylorisk ulcus med blødning og perforation";"DK266C"
"Postpylorisk ulcus UNS med blødning og perforation";"DK266D"
"Kronisk duodenalulcus uden blødning eller perforation";"DK267"
"Kronisk postpylorisk ulcus uden blødning eller perforation";"DK267A"
"Duodenalulcus UNS uden blødning eller perforation";"DK269"
"Mavesår og sår på tolvfingertarm";"DK27"
"Akut gastroduodenalt ulcus med blødning";"DK270"
"Akut gastroduodenalt ulcus med perforation";"DK271"
"Akut gastroduodenalt ulcus med blødning og perforation";"DK272"
"Akut gastroduodenalt ulcus uden blødning eller perforation";"DK273"
"Kronisk eller ikke specificeret gastroduodenalt ulcus med blødning";"DK274"
"Kronisk eller ikke specificeret gastroduodenalt ulcus med perforation";"DK275"
"Kronisk eller ikke specificeret gastroduodenalt ulcus med blødning og perforation";"DK276"
"Kronisk gastroduodenalt ulcus uden blødning eller perforation";"DK277"
"Gastroduodenalt ulcus UNS uden blødning eller perforation";"DK279"
"Recidivsår efter gastroenterostomi";"DK28"
"Akut gastrointestinalt sår med blødning";"DK280"
"Akut gastrojejunalt sår med blødning";"DK280A"
"Akut gastrokolisk sår med blødning";"DK280B"
"Akut gastrointestinalt sår med perforation";"DK281"
"Akut gastrojejunalt sår med perforation";"DK281A"
"Akut gastrokolisk sår med perforation";"DK281C"
"Akut gastrointestinalt sår med blødning og perforation";"DK282"
"Akut gastrojejunalt sår med blødning og perforation";"DK282A"
"Akut gastrokolisk sår med blødning og perforation";"DK282C"
"Akut gastrointestinalt sår uden blødning og perforation";"DK283"
"Akut gastrojejunalt sår uden blødning og perforation";"DK283A"
"Akut gastrokolisk sår uden blødning og perforation";"DK283C"
